21/2/2020 12:25:35
Time(ms)	Pressure(psig)	RPS	Current	Voltage
0.00	-0.68	16.19	0.00	3.30
6.00	-0.68	16.19	0.00	3.30
12.00	-0.68	16.19	0.00	3.30
19.00	-0.63	16.19	0.00	3.30
25.00	-0.68	16.19	0.00	3.30
31.00	-0.72	16.19	0.00	3.30
37.00	-0.77	16.19	0.00	3.30
43.00	-0.68	16.19	0.00	3.30
49.00	-0.63	16.19	0.00	3.30
55.00	-0.68	16.19	0.00	3.30
61.00	-0.63	16.19	0.00	3.30
67.00	-0.77	16.19	0.00	3.30
73.00	-0.63	16.19	0.00	3.30
80.00	-0.58	16.19	0.00	3.30
86.00	-0.72	16.19	0.00	3.30
92.00	-0.72	16.19	0.00	3.29
98.00	-0.63	16.19	0.00	3.30
104.00	-0.68	16.19	0.00	3.30
110.00	-0.68	16.19	0.00	3.30
116.00	-0.68	16.19	0.00	3.30
122.00	-0.72	16.19	0.00	3.30
128.00	-0.54	16.19	0.00	3.30
135.00	-0.54	16.19	0.00	3.30
141.00	-0.72	16.19	0.00	3.30
147.00	-0.72	16.19	0.00	3.30
153.00	-0.72	16.19	0.00	3.30
159.00	-0.68	16.19	0.00	3.30
165.00	-0.58	16.19	0.00	3.30
171.00	-0.63	16.19	0.00	3.30
177.00	-0.63	16.19	0.00	3.29
183.00	-0.54	16.19	0.00	3.30
190.00	-0.68	16.19	0.00	3.30
196.00	-0.77	16.19	0.00	3.30
202.00	-0.72	16.19	0.00	3.30
208.00	-0.72	16.19	0.00	3.30
214.00	-0.72	16.19	0.00	3.30
220.00	-0.68	16.19	0.00	3.30
226.00	-0.72	16.19	0.00	3.30
232.00	-0.72	16.19	0.00	3.30
238.00	-0.63	16.19	0.00	3.29
244.00	-0.68	16.19	0.00	3.30
251.00	-0.77	16.19	0.00	3.30
257.00	-0.72	16.19	0.00	3.29
263.00	-0.72	16.19	0.00	3.30
269.00	-0.77	16.19	0.00	3.30
275.00	-0.68	16.19	0.00	3.30
281.00	-0.72	16.19	0.00	3.30
287.00	-0.54	16.19	0.00	3.30
293.00	-0.63	16.19	0.00	3.30
299.00	-0.58	16.19	0.00	3.30
306.00	-0.72	16.19	0.00	3.30
312.00	-0.72	16.19	0.00	3.30
318.00	-0.72	16.19	0.00	3.30
324.00	-0.63	16.19	0.00	3.30
330.00	-0.72	16.19	0.00	3.30
336.00	-0.68	16.19	0.00	3.29
342.00	-0.63	16.19	0.00	3.30
348.00	-0.72	16.19	0.00	3.30
354.00	-0.68	16.19	0.00	3.30
361.00	-0.68	16.19	0.00	3.30
367.00	-0.68	16.19	0.00	3.30
373.00	-0.63	16.19	0.00	3.30
379.00	-0.68	16.19	0.00	3.30
385.00	-0.63	16.19	0.00	3.30
391.00	-0.63	16.19	0.00	3.30
397.00	-0.68	16.19	0.00	3.30
403.00	-0.68	16.19	0.00	3.30
409.00	-0.68	16.19	0.00	3.30
415.00	-0.72	16.19	0.00	3.30
422.00	-0.72	16.19	0.00	3.30
428.00	-0.77	16.19	0.00	3.30
434.00	-0.72	16.19	0.00	3.30
440.00	-0.68	16.19	0.00	3.30
446.00	-0.63	16.19	0.00	3.30
452.00	-0.77	16.19	0.00	3.30
458.00	-0.72	16.19	0.00	3.30
464.00	-0.72	16.19	0.00	3.29
470.00	-0.63	16.19	0.00	3.30
477.00	-0.68	16.19	0.00	3.30
483.00	-0.68	16.19	0.00	3.30
489.00	-0.63	16.19	0.00	3.30
495.00	-0.68	16.19	0.00	3.30
501.00	-0.68	16.19	0.00	3.30
507.00	-0.68	16.19	0.00	3.30
513.00	-0.63	16.19	0.00	3.30
519.00	-0.68	16.19	0.00	3.30
525.00	-0.77	16.19	0.00	3.30
531.00	-0.63	16.19	0.00	3.30
538.00	-0.58	16.19	0.00	3.30
544.00	-0.72	16.19	0.00	3.30
550.00	-0.72	16.19	0.00	3.30
556.00	-0.68	16.19	0.00	3.29
562.00	-0.68	16.19	0.00	3.30
568.00	-0.54	16.19	0.00	3.30
574.00	-0.77	16.19	0.00	3.30
580.00	-0.68	16.19	0.00	3.30
586.00	-0.63	16.19	0.00	3.30
593.00	-1.10	16.19	0.00	3.29
599.00	-0.63	16.19	0.00	3.30
605.00	-0.82	16.19	0.00	3.30
611.00	-0.68	16.19	0.00	3.30
617.00	-0.63	16.19	0.00	3.30
623.00	-0.21	16.19	0.00	3.30
629.00	-1.14	16.19	0.00	3.30
635.00	-1.38	16.19	0.00	3.30
641.00	-0.54	16.19	0.00	3.29
646.00	-0.16	16.19	0.00	3.30
650.00	-0.30	16.19	0.00	3.30
654.00	-1.24	16.19	0.00	3.30
658.00	-0.26	16.19	0.00	3.30
662.00	-0.91	16.19	0.00	3.29
667.00	0.59	16.19	0.00	3.30
671.00	-1.05	16.19	0.00	3.30
675.00	0.02	16.19	0.00	3.29
680.00	-1.00	16.19	0.00	3.30
685.00	0.07	16.19	0.00	3.30
689.00	1.85	16.19	0.00	3.30
693.00	-0.30	16.19	0.00	3.29
698.00	-0.35	16.19	0.00	3.30
702.00	-0.44	16.19	0.00	3.30
707.00	-0.58	16.19	0.00	3.30
711.00	0.40	16.19	0.00	3.30
715.00	0.16	16.19	0.00	3.30
720.00	0.91	16.19	0.00	3.29
724.00	2.36	16.19	0.00	3.29
729.00	1.01	16.53	0.00	3.29
733.00	1.38	16.53	0.01	3.30
